a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.53-1
adwaita-icon-theme 3.30.0-1
aircrack-ng 1.3-1
airgeddon-git r1260.60e1686-1
alpine-git 2.21.9999.308.879f42f-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.6-1
alsa-oss 1.1.6-1
alsa-plugins 1.1.6-2
alsa-utils 1.1.6-1
android-tools 9.0.0_r3-1
android-udev 20180715-1
ant 1.10.5-1
antlr4-runtime 4.7.1-1
aom 1.0.0-1
apache 2.4.35-1
apm 2.1.2-1
apr 1.6.3-1
apr-util 1.6.1-3
arc-gtk-theme 20180715-1
arc-icon-theme 20161122-1
arch-silence-grub-theme r1.3c851d8-2
archey-git r146.b74e40b-1
archlinux-artwork 1.6-4
archlinux-keyring 20180808-1
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
atkmm 2.24.2+1+gf30b47f-2
atom 1.30.0-1
attr 2.4.48-1
audit 2.8.4-2
augeas 1.10.1-1
autoconf 2.69-4
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
babl 0.1.56-1
bash 4.4.023-1
bc 1.07.1-1
bind-tools 9.13.3-1
binutils 2.31.1-3
bison 3.0.5-1
bitcoin-qt 0.16.3-1
blas 3.8.0-2
blueman 2.0.6-1
bluez 5.50-3
bluez-libs 5.50-3
bookworm 1.0.0-3
boost 1.68.0-1
boost-libs 1.68.0-1
brotli 1.0.6-1
btrfs-progs 4.17.1-1
bzip2 1.0.6-8
c-ares 1.14.0-1
ca-certificates 20180821-1
ca-certificates-mozilla 3.39-1
ca-certificates-utils 20180821-1
cabextract 1.6-3
cairo 1.15.14-1
cairomm 1.12.2-2
cantarell-fonts 1:0.111-1
cblas 3.8.0-2
cdparanoia 10.2-7
celt 0.11.3-3
celt0.5.1 0.5.1.3-4
ceph-libs 13.2.1-2
cfitsio 3.450-1
chm2pdf 0.9.1-5
chmlib 0.40-5
chromaprint 1.4.3-2
chromium 69.0.3497.100-1
chromium-widevine 1:4.10.1192.0-2
clang 7.0.0-1
clucene 2.3.3.4-10
cmake 3.12.2-1
cmark-gfm 0.28.3.gfm.15-1
colord 1.4.3-2
colord-gtk 0.1.26+5+ga9d9c91-1
compiler-rt 7.0.0-2
confuse 3.2.2-1
coreutils 8.30-1
cpio 2.12-3
cracklib 2.9.6-1
cryptsetup 2.0.4-1
ctemplate 2.3-5
cups 2.2.8-3
cups-filters 1.21.2-1
cups-pdf 3.0.1-4
curl 7.61.1-3
darktable 2:2.4.4-2
db 5.3.28-4
dbus 1.12.10-2
dbus-glib 0.110-1
dconf 0.30.0-1
deepin-qt-dbus-factory 1.0.4-2
deepin-qt5dxcb-plugin 1.1.11-2
deepin-qt5integration 0.3.5-2
deepin-screenshot 4.1.0-2
deepin-turbo 0.0.2-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.181-1
dhcpcd 7.0.8-1
dialog 1:1.3_20180621-1
diffutils 3.6-1
djvulibre 3.5.27-3
dmenu 4.8-1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
